country,messages_billed_us,minutes_billed_us,us_revenue_billed_us,payout_billed_us,retained_revenue_billed_us,messages_term_us,minutes_term_us,reciepts_foreign_term_us,reciepts_foreign_trans_us,payout_trans_us,retained_revenue_trans_us,retained_revenue_total,latitude,longitude,region,symsize,gid,sum_region,pct_country,pct_region,geom
Morocco,43657148,166214436,34894994,44157585,-9262591,1551279,13934410,759157,29933,3542,26391,-8477043,31.791702,-7.09262,Africa,3,33,2382080338,6.98,93.02,
South Africa,33462458,207455595,26008374,14206045,11802329,11411286,65422868,1680523,23020081,39159,22980922,36463774,-30.559482,22.937506,Africa,3,46,2382080338,8.71,91.29,
Bangladesh,25764287,155984964,5669517,5736560,-67043,2358955,12812961,143407,2120783,129175,1991608,2067972,23.684994,90.356331,Asia,3,58,22114816739,0.71,99.29,
Hong Kong,25369045,178077543,9176809,2610387,6566422,17730009,117279409,2513087,15395555,10408,15385147,24464656,22.396428,114.109497,Asia,3,66,22114816739,0.81,99.19,
Indonesia,28236419,118907610,7243036,5269214,1973822,3751530,20764616,360715,249087,5784,243303,2577840,-0.789275,113.921327,Asia,3,68,22114816739,0.54,99.46,
Malaysia,32504004,134182463,10040563,3570149,6470414,9533100,48382126,1323666,2590442,1510,2588932,10383012,4.210484,101.975766,Asia,3,74,22114816739,0.61,99.39,
Singapore,27930670,201626457,13500905,2993179,10507726,16760410,118324464,1330579,5975563,895,5974668,17812973,1.352083,103.819836,Asia,3,80,22114816739,0.91,99.09,
Sri Lanka,38616989,205411187,18528618,19588915,-1060297,2529175,15129927,451297,1536368,2416275,-879907,-1488907,7.873054,80.771797,Asia,3,81,22114816739,0.93,99.07,
Thailand,33753941,170596982,7108116,3267429,3840687,10384186,56527996,656112,17777,10361,7416,4504215,15.870032,100.992541,Asia,3,83,22114816739,0.77,99.23,
Vietnam,31300033,229713967,14179318,13924640,254678,17654169,58535546,616692,17770,8078,9692,881062,14.058324,108.277199,Asia,3,84,22114816739,1.04,98.96,
Cuba,32961947,139327724,83065308,96714340,-13649032,2,2191199,1421529,18455,14918,3537,-12223966,21.521757,-77.781167,Caribean,3,92,3779061301,3.69,96.31,
Trinidad and Tobago,32601474,181513045,15402266,10852619,4549647,19711914,81539736,2157794,571846,54236,517610,7225051,10.691803,-61.222503,Caribean,3,105,3779061301,4.80,95.20,
Russia,33334587,188445757,12939634,7394779,5544855,16940545,58727422,1484978,5829605,6541,5823064,12852897,61.52401,105.318756,Eastern Europe,3,129,1670724339,11.28,88.72,
Ukraine,20974985,104747907,11515792,10106864,1408928,844859,7060085,284696,119241,6163,113078,1806702,48.379433,31.16558,Eastern Europe,3,135,1670724339,6.27,93.73,
Uzbekistan,28949090,134474860,8024857,7308667,716190,223703,981842,41610,1930,1481,449,758249,41.377491,64.585262,Eastern Europe,3,136,1670724339,8.05,91.95,
Iran,29452882,108084285,9379717,11695021,-2315304,3443429,25802457,1062017,60280,68160,-7880,-1261167,32.427908,53.688046,Middle East,3,138,1425303635,7.58,92.42,
Saudi Arabia,58959410,165317357,22023586,18923921,3099665,23623289,68837433,734529,3430430,793412,2637018,6471212,23.885942,45.079162,Middle East,3,146,1425303635,11.60,88.40,
Syria,21951856,103885484,12383095,12096713,286382,1511424,6815503,427313,31560,25285,6275,719970,34.802075,38.996815,Middle East,3,147,1425303635,7.29,92.71,
United Arab Emirates,32481447,119625595,21145880,15467533,5678347,15786609,64665245,1182006,1456711,188845,1267866,8128219,23.424076,53.847818,Middle East,3,148,1425303635,8.39,91.61,
Nicaragua,29989238,145028101,27518116,18751794,8766322,25172646,78455384,1159394,855025,2039,852986,10778702,12.865416,-85.207229,North and Central America,3,157,18915487279,0.77,99.23,
New Zealand,23090551,105417288,8802682,6251548,2551134,45880875,243230638,2495531,5891293,1151169,4740124,9786789,-40.900557,174.885971,Oceania,3,171,770323435,13.68,86.32,
Bolivia,22224267,160255460,14818977,13598999,1219978,1751511,7884381,390119,2605983,10674,2595309,4205406,-16.290154,-63.588653,South America,3,211,5068671356,3.16,96.84,
Chile,25956939,178925308,15712286,15053458,658828,5323161,55283898,2958136,3807760,2045,3805715,7422679,-35.675147,-71.542969,South America,3,213,5068671356,3.53,96.47,
Venezuela,25202328,138398517,9378924,5807283,3571641,11679859,62179090,1309253,2520111,30988,2489123,7370017,6.42375,-66.58973,South America,3,222,5068671356,2.73,97.27,
Belgium,49378457,203409318,13232621,7176365,6056256,111505577,280394493,5643260,11861912,6143,11855769,23555285,50.503887,4.469936,Western Europe,3,225,6219503114,3.27,96.73,
Greece,23746735,187251049,8987923,5126723,3861200,15180618,100851177,3128980,6509523,5220,6504303,13494483,39.074208,21.824312,Western Europe,3,232,6219503114,3.01,96.99,
Ireland,36309390,222450799,17490939,10197376,7293563,27888461,174310459,4734598,1891134,2031,1889103,13917264,53.41291,-8.24389,Western Europe,3,235,6219503114,3.58,96.42,
Norway,27925424,135754923,12576084,9509128,3066956,18349602,87479379,1951029,4956678,4024,4952654,9970639,60.472024,8.468946,Western Europe,3,241,6219503114,2.18,97.82,
Portugal,13811092,108183966,5922094,3355564,2566530,6727765,36088823,703547,3260059,3131,3256928,6527005,39.399872,-8.224454,Western Europe,3,242,6219503114,1.74,98.26,
Sweden,18542771,130387988,8388830,4884493,3504337,9235022,74705641,774548,7622155,1504,7620651,11899536,60.128161,18.643501,Western Europe,3,244,6219503114,2.10,97.90,
Switzerland,34398392,198480362,16825985,10307280,6518705,39842887,154221922,2652144,13402728,7963,13394765,22565614,46.818188,8.227512,Western Europe,3,245,6219503114,3.19,96.81,
Turkey,30943797,160761419,9084103,4641592,4442511,7108849,30826123,452519,1497070,3637,1493433,6388463,38.963745,35.243322,Western Europe,3,246,6219503114,2.58,97.42,
Algeria,17391957,66471890,11865012,14913351,-3048339,24,8295155,829375,37973,3360,34613,-2184351,28.033886,1.659626,Africa,4,1,2382080338,2.79,97.21,
Cameroon,8160947,39745124,7350153,7132625,217528,396811,3884953,338394,112256,720,111536,667458,7.369722,12.354722,Africa,4,7,2382080338,1.67,98.33,
Cote d'Ivoire,7758597,26199928,5945613,3533772,2411841,22,3662671,177216,29921,3931,25990,2615047,7.539989,-5.54708,Africa,4,14,2382080338,1.10,98.90,
Guinea,7732352,27827343,7897277,10046696,-2149419,,687839,144964,19226,4428,14798,-1989657,9.945587,-9.696645,Africa,4,22,2382080338,1.17,98.83,
Kenya,13567101,91827417,8746161,7028348,1717813,46417,2325511,147972,60891,1634,59257,1925042,-0.023559,37.906193,Africa,4,24,2382080338,3.85,96.15,
Libya,12925978,36857407,9022640,12536199,-3513559,599337,1613328,54634,14078,116,13962,-3444963,26.3351,17.228331,Africa,4,27,2382080338,1.55,98.45,
Mali,16830844,43027805,9029110,7917007,1112103,449819,2848682,365977,10278,2166,8112,1486192,17.570692,-3.996166,Africa,4,30,2382080338,1.81,98.19,
Senegal,18185983,72643767,18697858,17242192,1455666,3165038,16377433,2199946,4658174,16340,4641834,8297446,14.497401,-14.452362,Africa,4,42,2382080338,3.05,96.95,
Sierra Leone,8729249,44143392,15504746,13835812,1668934,78932,487707,126034,357620,219,357401,2152369,8.460555,-11.779889,Africa,4,44,2382080338,1.85,98.15,
Somalia,7021176,27443864,11689855,13356727,-1666872,,47533,14391,18306,0,18306,-1634175,5.152149,46.199616,Africa,4,45,2382080338,1.15,98.85,
Sudan,9170327,44799165,5628829,5666689,-37860,8343,2804472,104946,75757,1269,74488,141574,12.862807,30.217636,Africa,4,47,2382080338,1.88,98.12,
Tunisia,10745956,28340805,7347876,9254550,-1906674,618105,2530000,226868,9996,4525,5471,-1674335,33.886917,9.537499,Africa,4,51,2382080338,1.19,98.81,
Uganda,9470380,47879639,5607400,4478536,1128864,221796,2148752,134109,192015,1999,190016,1452989,1.373333,32.290275,Africa,4,52,2382080338,2.01,97.99,
Zaire,6662063,25039795,7868621,7535723,332898,2645071,10259113,427919,3951473,0,3951473,4712290,-4.038333,21.758664,Africa,4,54,2382080338,1.05,98.95,
Zimbabwe,12008149,40030591,9856813,13769947,-3913134,139378,2734789,341985,1739133,25590,1713543,-1857606,-19.015438,29.154857,Africa,4,56,2382080338,1.68,98.32,
Afghanistan,18979612,72521801,15507333,15011962,495371,2212551,25313397,2864441,3293452,478,3292974,6652786,33.93911,67.709953,Asia,4,57,22114816739,0.33,99.67,
Cambodia,8852327,91587497,3922680,3247796,674884,843443,1910546,86362,218509,26,218483,979729,12.565679,104.990963,Asia,4,62,22114816739,0.41,99.59,
Laos,3908047,25349670,1064252,951809,112443,,945163,35596,4884,2557,2327,150366,19.85627,102.495496,Asia,4,72,22114816739,0.11,99.89,
Nepal,33208660,88215060,10041758,10412057,-370299,665310,1733201,106768,1166744,4756942,-3590198,-3853729,28.394857,84.124008,Asia,4,77,22114816739,0.40,99.60,
The Bahamas,32813132,96115991,8013079,4844240,3168839,20323474,69643979,2180311,6806586,4215,6802371,12151521,25.03428,-77.39628,Caribean,4,88,3779061301,2.54,97.46,
Barbados,9395528,29636048,4542980,3186639,1356341,12559214,37755105,843947,919344,36965,882379,3082667,13.193887,-59.543198,Caribean,4,89,3779061301,0.78,99.22,
Bermuda,10528500,36454649,2472135,1349978,1122157,5451227,34531989,378481,5109,1374,3735,1504373,32.3078,-64.7505,Caribean,4,90,3779061301,0.96,99.04,
Cayman Islands,10044794,26392526,3430693,2941560,489133,3460895,9754123,179198,20887,7773,13114,681445,19.3133,-81.2546,Caribean,4,91,3779061301,0.70,99.30,
Dominica,10385809,78024874,4170431,3338111,832320,56050,563794,18996,285268,156297,128971,980287,15.414999,-61.370976,Caribean,4,93,3779061301,2.06,97.94,
Netherlands Antilles,13789425,39324214,3685812,5062661,-1376849,5598678,15029461,177696,4617750,3502231,1115519,-83634,12.2248767,-68.8108849,Caribean,4,101,3779061301,1.04,98.96,
Bulgaria,16324846,78064039,17011130,24512021,-7500891,2113502,12829806,749700,158340,18848,139492,-6611699,42.733883,25.48583,Eastern Europe,4,116,1670724339,4.67,95.33,
Croatia,3182333,29968278,1977184,1165857,811327,6110,2321512,71015,53031,3001,50030,932372,45.7533427,15.9891256,Eastern Europe,4,117,1670724339,1.79,98.21,
Czech Republic,5600762,35630806,4708629,2871814,1836815,3505345,17102235,159800,27203,1910,25293,2021908,49.817492,15.472962,Eastern Europe,4,118,1670724339,2.13,97.87,
Hungary,5635914,54625645,4190354,1929622,2260732,6825,1988030,50696,155048,778,154270,2465698,47.162494,19.503304,Eastern Europe,4,121,1670724339,3.27,96.73,
Kazakhstan,5733646,25155962,1819130,1466661,352469,128708,662676,13276,1342,545,797,366542,48.019573,66.923684,Eastern Europe,4,122,1670724339,1.51,98.49,
Romania,7901793,63958196,3550898,2025854,1525044,478076,8728522,141486,250116,10240,239876,1906406,45.943161,24.96676,Eastern Europe,4,128,1670724339,3.83,96.17,
Serbia,9968667,76763430,9354564,7945546,1409018,531480,6171028,270636,12390,3928,8462,1688116,44.016521,21.005859,Eastern Europe,4,130,1670724339,4.59,95.41,
Iraq,19256917,88565548,8747057,6893189,1853868,1205,3365159,259033,104110,113831,-9721,2103180,33.223191,43.679291,Middle East,4,139,1425303635,6.21,93.79,
Jordan,11074853,63386622,7105777,4750891,2354886,4344119,28306125,615406,3315595,10845,3304750,6275042,30.585164,36.238414,Middle East,4,141,1425303635,4.45,95.55,
Kuwait,13870253,45452772,4925652,4057882,867770,5060208,20857057,245770,260143,76587,183556,1297096,29.31166,47.481766,Middle East,4,142,1425303635,3.19,96.81,
Qatar,18876777,43017451,7238814,7334318,-95504,8886564,30481783,281360,123276,27072,96204,282060,25.354826,51.183884,Middle East,4,145,1425303635,3.02,96.98,
Yemen,11265690,64482489,8419813,8563971,-144158,639251,2813604,65887,7777,1677,6100,-72171,15.552727,48.516388,Middle East,4,149,1425303635,4.52,95.48,
Belize,7262109,37030140,8657868,6806183,1851685,2663406,9987046,237471,6136,1230,4906,2094062,17.189877,-88.49765,North and Central America,4,150,18915487279,0.20,99.80,
Panama,20263133,99216674,9554223,7085171,2469052,12336645,43864386,700448,2007445,11232,1996213,5165713,8.537981,-80.782127,North and Central America,4,158,18915487279,0.52,99.48,
Guam,6516078,30736499,438735,348038,90697,953094,4420460,59289,110,17,93,150079,13.444304,144.793731,Oceania,4,184,770323435,3.99,96.01,
Northern Mariana Islands,5863579,31577951,3689802,1519049,2170753,3051355,17286311,485749,0,0,0,2656502,15.0979,145.6739,Other Regions,4,206,73755935,42.81,57.19,
Carriers serving Misc. U.S. points,7028970,34680452,4536954,2366201,2170753,3120198,17510342,523456,0,0,0,2694209,0,0,Other Regions,4,209,73755935,47.02,52.98,
Guyana,23123379,71209013,13815104,17089336,-3274232,4405982,17277952,1551203,562763,210735,352028,-1371001,4.860416,-58.93018,South America,4,217,5068671356,1.40,98.60,
Paraguay,6891784,42782403,2111167,1434163,677004,372049,2141292,89431,1544509,440,1544069,2310504,-23.442503,-58.443832,South America,4,218,5068671356,0.84,99.16,
Suriname,7275475,26774833,3787763,6281201,-2493438,781860,2424987,36155,101324,36945,64379,-2392904,3.919305,-56.027783,South America,4,220,5068671356,0.53,99.47,
Uruguay,7562588,55272710,5986046,3549805,2436241,705185,13262573,329001,528634,125,528509,3293751,-32.522779,-55.765835,South America,4,221,5068671356,1.09,98.91,
Austria,11608292,59206400,6942471,4314491,2627980,3015503,17233957,580388,2163782,456,2163326,5371694,47.516231,14.550072,Western Europe,4,224,6219503114,0.95,99.05,
Denmark,14702280,68246645,5515297,2453358,3061939,342176,4797418,181443,2670627,1259,2669368,5912750,56.26392,9.501785,Western Europe,4,227,6219503114,1.10,98.90,
Finland,6482663,40211348,3490402,2993777,496625,1159582,6338077,90660,101448,1466,99982,687267,61.92411,25.748151,Western Europe,4,228,6219503114,0.65,99.35,
Angola,6437910,23204403,4911848,2626883,2284965,154404,803904,18426,47171,1135,46036,2349427,-11.202692,17.873887,Africa,5,2,2382080338,0.97,99.03,
Botswana,2871156,10228169,1343081,1549943,-206862,156629,787761,26702,922,80,842,-179318,-22.328474,24.684866,Africa,5,4,2382080338,0.43,99.57,
Burkina,3446550,11125710,2114900,1839334,275566,540113,2261844,117625,9262,1515,7747,400938,12.238333,-1.561593,Africa,5,5,2382080338,0.47,99.53,
Gambia,5621194,21493862,7005468,7020504,-15036,,973039,301973,17009,2556,14453,301390,13.443182,-15.310139,Africa,5,20,2382080338,0.90,99.10,
Liberia,3953652,19239404,3756468,3023510,732958,,90559,13041,2003,805,1198,747197,6.428055,-9.429499,Africa,5,26,2382080338,0.81,99.19,
Malawi,7291648,15127221,1419460,1296610,122850,167494,1171666,59543,1875,73,1802,184195,-13.254308,34.301525,Africa,5,29,2382080338,0.64,99.36,
